,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
83,Male,Loyal Customer,55,Business travel,Business,1400,3,5,5,5,4,3,2,3,3,3,3,1,3,4,1,0.0,neutral or dissatisfied
84,Male,disloyal Customer,21,Business travel,Eco,447,2,2,1,4,1,1,1,1,4,4,3,4,3,1,7,0.0,neutral or dissatisfied
85,Female,Loyal Customer,31,Personal Travel,Business,334,2,1,2,4,5,2,5,5,2,4,3,2,4,5,5,0.0,neutral or dissatisfied
86,Female,disloyal Customer,37,Business travel,Eco,158,1,2,1,3,1,1,1,1,1,4,3,4,3,1,24,20.0,neutral or dissatisfied
87,Female,Loyal Customer,50,Business travel,Business,3696,1,1,5,1,2,4,4,5,5,5,5,4,5,5,9,0.0,satisfied
88,Female,Loyal Customer,21,Personal Travel,Eco,846,1,4,1,3,3,1,3,3,5,4,5,4,5,3,9,17.0,neutral or dissatisfied
89,Female,Loyal Customer,53,Business travel,Eco,329,1,0,0,3,1,3,3,4,4,1,4,4,4,1,0,0.0,neutral or dissatisfied
90,Male,Loyal Customer,45,Business travel,Business,2580,3,3,3,3,3,4,4,5,5,5,5,3,5,4,0,11.0,satisfied
91,Female,disloyal Customer,42,Business travel,Eco,84,3,5,3,1,5,3,5,5,5,5,3,5,4,5,0,34.0,neutral or dissatisfied
92,Male,Loyal Customer,59,Business travel,Business,3358,3,3,3,3,3,5,4,4,4,4,4,4,4,3,0,0.0,satisfied
93,Female,Loyal Customer,54,Business travel,Eco,308,2,1,4,4,5,3,3,2,2,2,2,4,2,1,83,95.0,neutral or dissatisfied
94,Female,Loyal Customer,46,Business travel,Business,912,1,1,1,1,2,4,4,4,4,4,4,5,4,4,5,0.0,satisfied
95,Female,Loyal Customer,52,Personal Travel,Eco Plus,406,3,4,3,1,2,5,4,2,2,3,2,3,2,4,0,0.0,neutral or dissatisfied
96,Female,Loyal Customer,38,Personal Travel,Eco,397,2,5,2,2,5,2,5,5,5,4,4,5,5,5,0,0.0,neutral or dissatisfied
97,Male,Loyal Customer,35,Business travel,Business,2409,3,3,3,3,1,4,3,4,4,4,4,3,4,3,0,0.0,satisfied
98,Female,Loyal Customer,41,Personal Travel,Eco,545,2,2,2,3,4,2,4,4,1,3,4,1,4,4,0,0.0,neutral or dissatisfied
99,Female,disloyal Customer,40,Business travel,Business,2419,2,2,2,3,4,2,4,4,3,2,3,3,5,4,0,0.0,neutral or dissatisfied
100,Female,disloyal Customer,36,Business travel,Eco,1061,2,2,2,1,4,2,4,4,1,4,2,4,2,4,13,0.0,neutral or dissatisfied
101,Male,Loyal Customer,67,Personal Travel,Eco,899,2,5,2,2,2,2,2,2,5,2,4,5,5,2,0,0.0,neutral or dissatisfied
102,Female,Loyal Customer,38,Personal Travel,Eco,293,4,4,4,4,5,4,5,5,2,2,4,4,4,5,5,0.0,satisfied
103,Female,Loyal Customer,50,Personal Travel,Eco,1085,3,5,3,2,5,5,5,5,5,3,5,3,5,4,0,0.0,neutral or dissatisfied
104,Male,Loyal Customer,50,Business travel,Business,2475,5,5,5,5,2,5,4,2,2,2,2,3,2,5,0,0.0,satisfied
105,Male,Loyal Customer,54,Business travel,Business,2544,5,5,3,5,5,4,5,3,3,3,3,4,3,5,62,66.0,satisfied
106,Male,Loyal Customer,56,Business travel,Business,2556,4,4,4,4,4,5,4,4,4,4,4,3,4,5,117,113.0,satisfied
107,Male,Loyal Customer,38,Personal Travel,Eco,237,3,4,3,4,2,3,2,2,3,3,4,4,3,2,0,2.0,neutral or dissatisfied
108,Female,Loyal Customer,7,Personal Travel,Eco,1120,3,5,3,3,2,3,2,2,4,4,4,5,5,2,16,13.0,neutral or dissatisfied
109,Female,Loyal Customer,32,Business travel,Business,2668,5,5,4,5,4,4,4,4,5,2,5,5,5,4,2,0.0,satisfied
110,Male,Loyal Customer,45,Business travel,Eco,1660,4,1,1,1,4,4,4,4,2,5,2,4,3,4,0,7.0,neutral or dissatisfied
111,Male,disloyal Customer,25,Business travel,Eco,1310,2,2,2,4,3,2,3,3,1,4,3,1,4,3,0,24.0,neutral or dissatisfied
112,Female,Loyal Customer,45,Business travel,Business,2374,5,5,5,5,4,5,4,4,4,4,4,5,4,5,0,0.0,satisfied
113,Male,Loyal Customer,34,Personal Travel,Eco,209,3,4,0,1,1,0,1,1,1,5,5,2,3,1,0,0.0,neutral or dissatisfied
114,Male,Loyal Customer,20,Personal Travel,Eco Plus,305,3,4,3,3,1,3,1,1,3,3,4,4,5,1,5,2.0,neutral or dissatisfied
115,Female,disloyal Customer,36,Business travel,Eco,247,2,1,2,3,1,2,1,1,4,1,3,1,2,1,16,6.0,neutral or dissatisfied
116,Male,disloyal Customer,36,Business travel,Eco,338,3,4,3,4,2,3,2,2,3,4,3,1,3,2,0,0.0,neutral or dissatisfied
117,Male,Loyal Customer,27,Business travel,Business,3200,1,1,1,1,5,5,5,5,4,5,2,2,1,5,0,0.0,satisfied
118,Male,Loyal Customer,40,Personal Travel,Eco,1368,3,4,2,4,3,2,3,3,4,2,3,3,4,3,0,0.0,neutral or dissatisfied
119,Male,Loyal Customer,31,Business travel,Business,1999,4,5,4,4,5,5,5,5,4,4,4,3,4,5,0,4.0,satisfied
120,Male,Loyal Customer,25,Business travel,Eco Plus,680,0,5,0,2,1,0,1,1,3,1,4,5,5,1,0,0.0,satisfied
121,Male,Loyal Customer,42,Business travel,Business,537,2,2,2,2,1,5,3,5,5,5,5,4,5,3,0,0.0,satisfied
122,Female,Loyal Customer,45,Business travel,Eco,288,5,1,1,1,1,2,3,5,5,5,5,1,5,3,29,40.0,satisfied
123,Male,Loyal Customer,59,Personal Travel,Business,639,2,1,2,3,4,3,3,3,3,2,3,2,3,1,0,11.0,neutral or dissatisfied
124,Male,Loyal Customer,34,Personal Travel,Eco,201,3,5,3,3,2,3,5,2,5,2,1,3,1,2,3,8.0,neutral or dissatisfied
125,Female,Loyal Customer,22,Personal Travel,Eco,213,3,5,3,4,3,3,1,3,1,5,1,3,2,3,0,17.0,neutral or dissatisfied
126,Male,Loyal Customer,21,Personal Travel,Eco,1096,2,2,2,4,2,2,3,2,3,1,3,2,4,2,0,0.0,neutral or dissatisfied
127,Male,Loyal Customer,26,Business travel,Business,1680,3,1,1,1,3,3,3,3,1,2,4,2,3,3,27,10.0,neutral or dissatisfied
128,Male,Loyal Customer,37,Business travel,Business,2401,2,2,2,2,5,3,1,4,4,4,4,1,4,5,94,86.0,satisfied
129,Male,Loyal Customer,38,Business travel,Business,2746,2,2,2,2,2,5,2,4,4,4,4,1,4,5,0,0.0,satisfied
130,Female,Loyal Customer,17,Personal Travel,Eco,89,3,4,3,1,5,3,3,5,3,4,5,5,5,5,0,0.0,neutral or dissatisfied
131,Male,Loyal Customer,15,Personal Travel,Eco Plus,192,2,4,2,3,5,2,5,5,5,4,5,5,5,5,5,8.0,neutral or dissatisfied
132,Female,Loyal Customer,53,Personal Travel,Eco,404,3,3,3,4,4,4,4,5,5,3,5,1,5,2,0,0.0,neutral or dissatisfied
133,Male,disloyal Customer,39,Business travel,Business,546,4,4,4,4,2,4,2,2,3,5,5,3,4,2,93,88.0,neutral or dissatisfied
134,Male,Loyal Customer,40,Business travel,Business,2400,4,3,4,4,2,4,5,5,5,5,5,3,5,3,0,0.0,satisfied
135,Female,disloyal Customer,28,Business travel,Eco Plus,599,2,2,2,3,4,2,4,4,3,3,3,1,3,4,0,46.0,neutral or dissatisfied
136,Female,disloyal Customer,27,Business travel,Business,2342,3,3,3,4,2,3,2,2,4,3,5,3,5,2,10,0.0,neutral or dissatisfied
137,Female,Loyal Customer,41,Business travel,Business,3046,5,5,5,5,3,5,5,4,4,4,4,4,4,5,0,0.0,satisfied
138,Female,Loyal Customer,7,Personal Travel,Eco,516,2,4,2,3,5,2,5,5,5,4,5,5,4,5,0,0.0,neutral or dissatisfied
139,Male,disloyal Customer,48,Business travel,Business,759,3,3,3,2,2,3,2,2,4,2,5,4,5,2,2,1.0,neutral or dissatisfied
140,Male,Loyal Customer,13,Business travel,Eco,1400,2,1,1,1,2,1,2,2,4,3,3,3,4,2,0,0.0,neutral or dissatisfied
141,Female,Loyal Customer,48,Business travel,Business,491,3,3,3,3,4,4,4,4,4,4,4,3,4,5,0,0.0,satisfied
142,Female,Loyal Customer,49,Personal Travel,Eco,134,3,3,3,3,5,3,3,4,4,3,4,1,4,4,8,3.0,neutral or dissatisfied
143,Male,disloyal Customer,26,Business travel,Business,900,5,5,5,3,1,5,1,1,4,3,5,5,5,1,5,0.0,satisfied
144,Male,Loyal Customer,22,Business travel,Business,3648,2,2,2,2,3,3,3,3,2,4,3,5,3,3,0,0.0,satisfied
145,Female,Loyal Customer,53,Business travel,Business,3769,3,1,5,1,1,3,1,2,4,3,4,1,2,1,180,178.0,neutral or dissatisfied
146,Female,Loyal Customer,43,Business travel,Eco,563,4,4,4,4,3,5,5,4,4,4,4,5,4,5,0,0.0,satisfied
147,Male,Loyal Customer,56,Business travel,Business,3131,1,1,1,1,2,5,4,4,4,4,5,4,4,5,0,0.0,satisfied
148,Female,Loyal Customer,69,Personal Travel,Eco,631,3,5,2,5,3,3,4,5,5,2,5,1,5,1,0,0.0,neutral or dissatisfied
149,Male,Loyal Customer,59,Personal Travel,Eco,351,4,3,4,4,1,4,1,1,1,5,4,2,4,1,0,0.0,satisfied
150,Female,Loyal Customer,56,Business travel,Business,1189,5,5,3,5,5,4,5,2,2,2,2,4,2,3,9,0.0,satisfied
151,Male,Loyal Customer,11,Personal Travel,Eco,562,5,5,5,5,3,5,3,3,4,4,5,1,2,3,0,0.0,satisfied
152,Female,Loyal Customer,25,Business travel,Eco,1874,4,3,3,3,4,4,3,4,3,1,4,5,1,4,86,78.0,satisfied
153,Female,disloyal Customer,29,Business travel,Eco,158,4,0,4,1,2,4,2,2,1,5,2,2,2,2,0,0.0,satisfied
154,Female,Loyal Customer,48,Business travel,Eco,95,5,3,3,3,1,2,1,5,5,5,5,1,5,2,0,0.0,satisfied
155,Female,Loyal Customer,42,Business travel,Business,266,1,1,1,1,4,3,4,4,4,4,4,2,4,1,0,0.0,satisfied
156,Male,disloyal Customer,15,Business travel,Eco,449,1,4,1,2,3,1,4,3,1,3,5,4,5,3,0,0.0,neutral or dissatisfied
157,Female,disloyal Customer,49,Business travel,Business,1416,3,4,4,2,2,3,2,2,4,2,5,5,4,2,0,0.0,neutral or dissatisfied
158,Male,Loyal Customer,41,Business travel,Business,2388,2,2,2,2,5,5,4,4,4,4,4,5,4,5,29,18.0,satisfied
159,Male,Loyal Customer,43,Business travel,Business,1678,1,1,2,1,3,4,4,2,2,2,2,4,2,5,0,0.0,satisfied
160,Male,Loyal Customer,60,Business travel,Business,1972,5,5,2,5,4,3,5,5,5,5,5,5,5,3,0,0.0,satisfied
161,Female,Loyal Customer,42,Personal Travel,Eco,337,4,1,4,3,3,3,3,3,3,4,1,2,3,2,0,0.0,satisfied
162,Female,Loyal Customer,8,Personal Travel,Eco,253,3,3,3,1,4,3,4,4,5,5,2,4,3,4,0,0.0,neutral or dissatisfied
163,Female,Loyal Customer,42,Business travel,Eco,212,5,3,3,3,5,3,5,5,5,5,5,5,5,2,82,72.0,satisfied
164,Male,disloyal Customer,18,Business travel,Eco Plus,342,1,1,1,3,3,1,3,3,2,1,4,1,3,3,32,41.0,neutral or dissatisfied
165,Male,Loyal Customer,47,Business travel,Business,3556,2,2,2,2,3,5,3,5,5,5,5,3,5,4,0,0.0,satisfied
166,Female,disloyal Customer,27,Business travel,Eco,191,4,4,4,4,5,4,5,5,2,1,3,2,3,5,16,12.0,neutral or dissatisfied
167,Female,Loyal Customer,67,Personal Travel,Eco Plus,693,3,1,3,1,5,1,2,1,1,3,1,1,1,4,100,91.0,neutral or dissatisfied
168,Male,disloyal Customer,38,Business travel,Business,641,5,5,5,3,2,5,2,2,5,5,4,3,5,2,0,0.0,satisfied
169,Female,disloyal Customer,20,Business travel,Eco,471,4,5,4,4,3,4,3,3,4,3,4,5,4,3,0,0.0,neutral or dissatisfied
170,Female,Loyal Customer,60,Business travel,Business,3823,2,2,1,2,4,4,4,5,5,4,5,3,5,3,1,0.0,satisfied
171,Male,disloyal Customer,23,Business travel,Business,282,4,5,4,1,4,4,4,4,3,3,5,3,4,4,9,1.0,satisfied
172,Male,disloyal Customer,25,Business travel,Business,544,3,5,3,1,2,3,2,2,4,2,5,4,4,2,0,0.0,neutral or dissatisfied
173,Female,Loyal Customer,38,Business travel,Business,2955,3,3,3,3,3,5,5,4,4,4,4,3,4,3,0,0.0,satisfied
174,Female,Loyal Customer,40,Business travel,Business,2806,1,1,1,1,3,1,5,5,5,5,5,5,5,5,0,4.0,satisfied
175,Male,Loyal Customer,19,Personal Travel,Eco,587,3,4,3,5,1,3,1,1,5,3,5,4,4,1,0,0.0,neutral or dissatisfied
176,Female,Loyal Customer,61,Business travel,Business,2073,3,3,3,3,4,5,4,4,4,4,4,4,4,5,6,0.0,satisfied
177,Male,Loyal Customer,44,Personal Travel,Eco,1249,3,4,3,3,5,3,5,5,5,2,3,4,4,5,25,6.0,neutral or dissatisfied
178,Female,Loyal Customer,22,Personal Travel,Eco,284,3,5,3,1,3,3,3,3,4,5,5,3,5,3,34,35.0,neutral or dissatisfied
179,Female,disloyal Customer,8,Business travel,Eco,946,2,2,2,2,3,2,3,3,1,5,3,4,3,3,2,0.0,neutral or dissatisfied
180,Female,Loyal Customer,45,Business travel,Business,3947,3,4,4,4,3,4,4,3,3,3,3,4,3,3,25,16.0,neutral or dissatisfied
181,Male,Loyal Customer,46,Personal Travel,Eco,895,4,5,4,1,1,4,1,1,2,1,3,3,5,1,40,25.0,satisfied
182,Female,Loyal Customer,54,Business travel,Business,1634,3,2,5,2,4,4,4,3,3,3,3,3,3,1,90,77.0,neutral or dissatisfied
183,Male,Loyal Customer,62,Personal Travel,Eco,588,2,1,1,2,1,1,1,1,1,4,3,2,3,1,0,0.0,neutral or dissatisfied
184,Female,Loyal Customer,25,Business travel,Business,2533,5,5,5,5,2,2,2,2,5,1,2,1,3,2,0,0.0,satisfied
185,Female,Loyal Customer,32,Personal Travel,Eco,641,3,4,3,2,2,3,2,2,4,5,4,5,4,2,0,0.0,neutral or dissatisfied
186,Female,Loyal Customer,65,Personal Travel,Eco,581,4,4,4,2,4,4,4,1,1,4,1,4,1,5,1,3.0,neutral or dissatisfied
187,Male,disloyal Customer,40,Business travel,Business,223,2,2,2,4,2,2,2,2,4,4,4,3,5,2,0,0.0,neutral or dissatisfied
188,Female,Loyal Customer,30,Business travel,Eco Plus,326,0,0,0,5,2,0,2,2,4,1,3,4,5,2,0,0.0,satisfied
189,Female,Loyal Customer,67,Personal Travel,Eco,599,3,1,3,2,1,1,2,3,3,3,3,2,3,1,0,0.0,neutral or dissatisfied
190,Male,Loyal Customer,51,Business travel,Business,2075,5,5,5,5,2,5,5,5,5,5,5,3,5,3,0,0.0,satisfied
191,Female,Loyal Customer,47,Business travel,Business,964,5,5,4,5,5,4,5,5,5,5,5,4,5,3,1,3.0,satisfied
192,Female,Loyal Customer,38,Business travel,Eco,599,1,4,4,4,1,1,1,1,2,3,3,3,3,1,8,0.0,neutral or dissatisfied
193,Male,Loyal Customer,54,Business travel,Business,3138,1,1,1,1,5,5,4,4,4,4,4,3,4,4,0,0.0,satisfied
194,Female,Loyal Customer,57,Personal Travel,Eco,251,1,5,0,5,3,2,3,1,1,0,3,5,1,3,0,4.0,neutral or dissatisfied
195,Male,Loyal Customer,13,Personal Travel,Eco,1119,1,5,1,3,2,1,2,2,3,4,4,5,5,2,0,0.0,neutral or dissatisfied
196,Female,disloyal Customer,20,Business travel,Eco,337,4,0,4,3,4,4,4,4,3,5,4,4,5,4,0,0.0,satisfied
197,Female,Loyal Customer,45,Business travel,Business,759,2,2,2,2,2,2,1,2,2,2,2,3,2,4,23,94.0,neutral or dissatisfied
